Feature,Importance
Seat_Comfort,22.778939496909945
Type_Travel,9.399962806807883
Onboard_Entertainment,9.021153407305667
Ease_of_Online_Booking,7.249582637189286
Travel_Class,6.595554153695152
Customer_Type,6.501469524568217
Platform_Location,5.238751847250697
Gender,4.916776323821901
Baggage_Handling,3.485938048059201
Arrival_Time_Convenient,3.4363861264520517
CheckIn_Service,3.1536727397324293
Age,3.0411215142924455
Cleanliness,2.8139429005840872
Online_Support,2.4917825828808415
Online_Boarding,1.9281800802044078
Legroom,1.6753750001391186
Onboard_Service,1.5075421701936202
Travel_Distance,1.3340432515616674
Catering,1.3204389230886724
Arrival_Delay_in_Mins,1.1853462533773258
Onboard_Wifi_Service,0.6227245191256863
Departure_Delay_in_Mins,0.2795601552722595
Seat_Class,0.021755537487476957
